asn,category,tags
393216,Academic/Edu,"Education and Research|Colleges, Universities, and Professional Schools|Not Validating RPKI ROV|"
1,ISP,Not Validating RPKI ROV|Service|Hosting and Cloud Provider|Computer and Network Security
2,Eyeball,"Eyeball|Computer and Information Technology|Colleges, Universities, and Professional Schools|Education and Research"
3,Eyeball,"Eyeball|Colleges, Universities, and Professional Schools|Education and Research|Not Validating RPKI ROV"
4,Academic/Edu,"Academic|Community Groups and Nonprofits|Colleges, Universities, and Professional Schools|Service"
5,ISP,Not Validating RPKI ROV|Computer and Information Technology|Hosting and Cloud Provicer|Internet Service Provider (ISP)
6,ISP,"Not Validating RPKI ROV|Service|Law, Business, and Consulting Services|Software Development"
393218,Enterprise,"Computer and Information Technology|Media, Publishing, and Broadcasting|Law, Business, and Consulting Services|Service"
8,Eyeball,"Eyeball|Computer and Information Technology|Colleges, Universities, and Professional Schools|Media, Publishing, and Broadcasting"
9,Eyeball,"Eyeball|Colleges, Universities, and Professional Schools|Education and Research|Not Validating RPKI ROV"
10,Academic/Edu,"Computer and Information Technology|Electronics and Computer Components|Software Development|Law, Business, and Consulting Services"
11,Academic/Edu,Community Groups and Nonprofits|Education and Research|
12,Eyeball,"Eyeball|Colleges, Universities, and Professional Schools|Education and Research|Validating RPKI ROV"
13,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
14,Eyeball,Eyeball|Software Development|Research and Development Organizations|Computer and Information Technology
15,ISP,"Banks, Credit Card Companies, Mortgage Providers|Internet Service Provider (ISP)|Finance and Insurance|Computer and Information Technology"
16,ISP,"Education and Research|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Internet Service Provider (ISP)|Electric Power Generation, Transmission, Distribution"
17,Eyeball,"Eyeball|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Colleges, Universities, and Professional Schools|Education and Research"
18,Academic/Edu,"Academic|Colleges, Universities, and Professional Schools|Education and Research|Community Groups and Nonprofits"
19,Academic/Edu,"Validating RPKI ROV|Machinery|Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)|Research and Development Organizations"
20,Academic/Edu,"Tranco 10k Host|Health Care Services|Education and Research|Colleges, Universities, and Professional Schools"
21,Academic/Edu,Not Validating RPKI ROV|Health Care Services|Government and Public Administration|Community Groups and Nonprofits
22,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration|"
23,Academic/Edu,Education and Research|Research and Development Organizations|
24,Academic/Edu,Education and Research|Government|Validating RPKI ROV|
25,Academic/Edu,"Academic|Colleges, Universities, and Professional Schools|Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration"
26,Academic/Edu,"Tranco 10k Host|Education and Research|Colleges, Universities, and Professional Schools|Computer and Information Technology"
27,Eyeball,"Eyeball|Computer and Information Technology|Colleges, Universities, and Professional Schools|Education and Research"
393235,Other,"Construction and Real Estate|Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers|Not Validating RPKI ROV"
29,Academic/Edu,"Academic|Colleges, Universities, and Professional Schools|Education and Research|Media, Publishing, and Broadcasting"
30,ISP,Community Groups and Nonprofits|Internet Service Provider (ISP)|Computer and Information Technology|Software Development
31,Academic/Edu,"Academic|Education and Research|Colleges, Universities, and Professional Schools|Not Validating RPKI ROV"
32,Academic/Edu,"Academic|Education and Research|Colleges, Universities, and Professional Schools|Validating RPKI ROV"
33,ISP,Not Validating RPKI ROV|Manufacturing|Computer and Information Technology|Internet Service Provider (ISP)
34,Academic/Edu,"Tranco 10k Host|Education and Research|Colleges, Universities, and Professional Schools|Validating RPKI ROV"
35,Academic/Edu,Not Validating RPKI ROV|Service|Education and Research|Research and Development Organizations
36,ISP,Computer and Network Security|Software Development|Internet Service Provider (ISP)|Computer and Information Technology
37,Government,Government|Manufacturing|Health Care Services|
38,Eyeball,Eyeball|Education and Research|Computer and Information Technology|Manufacturing
39,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration|"
40,Academic/Edu,"Colleges, Universities, and Professional Schools|Education and Research|"
41,Academic/Edu,Education and Research|
